pi,K,eta,N,Lambda,Sigma,Xi,fpi,fK,feta
130.0,497.05,556.39,961.33,1111.87,1185.44,1299.11,91.12,109.96,119.14
133.1,496.78,555.92,962.85,1112.63,1185.85,1298.94,91.29,110.01,119.11
136.21,496.5,555.44,964.4,1113.4,1186.27,1298.76,91.47,110.05,119.08
139.31,496.21,554.95,965.97,1114.18,1186.68,1298.56,91.64,110.1,119.05
142.41,495.92,554.45,967.57,1114.96,1187.09,1298.35,91.82,110.14,119.02
145.52,495.62,553.93,969.18,1115.75,1187.5,1298.12,92.0,110.19,118.99
148.62,495.31,553.4,970.82,1116.55,1187.91,1297.89,92.18,110.23,118.96
151.72,494.99,552.86,972.48,1117.35,1188.31,1297.64,92.36,110.28,118.93
154.83,494.67,552.3,974.16,1118.16,1188.72,1297.37,92.55,110.33,118.89
157.93,494.34,551.74,975.87,1118.98,1189.12,1297.09,92.73,110.37,118.86
161.03,494.0,551.16,977.59,1119.8,1189.52,1296.8,92.92,110.42,118.83
164.14,493.65,550.56,979.34,1120.63,1189.91,1296.49,93.11,110.46,118.79
167.24,493.3,549.96,981.1,1121.46,1190.3,1296.17,93.3,110.51,118.75
170.34,492.94,549.34,982.89,1122.29,1190.69,1295.84,93.49,110.56,118.72
173.45,492.57,548.7,984.69,1123.14,1191.07,1295.48,93.68,110.6,118.68
176.55,492.19,548.05,986.52,1123.98,1191.45,1295.12,93.88,110.65,118.64
179.66,491.8,547.39,988.37,1124.83,1191.83,1294.73,94.08,110.69,118.6
182.76,491.41,546.72,990.24,1125.69,1192.2,1294.33,94.27,110.74,118.56
185.86,491.0,546.03,992.12,1126.54,1192.57,1293.92,94.47,110.78,118.52
188.97,490.59,545.33,994.03,1127.41,1192.93,1293.49,94.67,110.83,118.47
192.07,490.17,544.61,995.96,1128.27,1193.29,1293.04,94.87,110.87,118.43
195.17,489.75,543.88,997.91,1129.14,1193.64,1292.57,95.08,110.92,118.39
198.28,489.31,543.13,999.87,1130.02,1193.98,1292.09,95.28,110.96,118.34
201.38,488.87,542.37,1001.86,1130.89,1194.33,1291.59,95.48,111.01,118.3
204.48,488.41,541.59,1003.86,1131.77,1194.66,1291.07,95.69,111.05,118.25
207.59,487.95,540.8,1005.89,1132.66,1194.99,1290.54,95.9,111.09,118.2
210.69,487.48,539.99,1007.93,1133.54,1195.31,1289.99,96.11,111.14,118.15
213.79,487.0,539.17,1010.0,1134.43,1195.63,1289.42,96.31,111.18,118.1
216.9,486.51,538.33,1012.08,1135.32,1195.94,1288.83,96.52,111.22,118.05
220.0,486.01,537.47,1014.18,1136.21,1196.25,1288.22,96.74,111.26,118.0
