lv1,lv2,lv3,lv4
1386.5399163856785,1459.5364730985643,1505.3356780329211,1515.6087803719722
1384.4564258563578,1454.3615566989438,1502.4449183248157,1513.8353297850867
1383.4523553430433,1453.963678646514,1501.351024888438,1513.1618618411549
1384.3204553146838,1454.964333301501,1502.208238418587,1513.8188516314417
1385.3776328613449,1452.572680486011,1502.87423250281,1514.5492698439145
1382.1855585637177,1451.0744367546745,1499.4892666966916,1512.2865971814997
1385.9202872120004,1458.4109121633003,1504.5844671662435,1515.0777895175843
1386.0884163052785,1458.1102059689892,1504.9293879237198,1515.1513142045244
1383.5375054418423,1457.9116911915416,1501.6783660928977,1513.659253075791
1382.3257578603489,1454.348938323647,1499.582579704078,1512.751860537747
1386.5477180510786,1454.0936354688727,1504.7918728940692,1515.4978110120312
1384.4644350507815,1453.0841444249925,1502.1350216009796,1513.8255422156913
1385.0912089038623,1451.9582414857662,1502.6916733434189,1514.2691523369165
1383.6386683479373,1454.9013900858483,1501.6141890524123,1513.3565521904657
1382.334394048082,1457.8850514022874,1499.0482571605903,1513.453471324654
1382.9873428477047,1454.4556035851324,1500.2958245626176,1513.1049923099945
1382.1152614599625,1457.1820740336434,1498.7235900768671,1513.2651866840715
1384.3519172085862,1455.477771056587,1502.7298442528977,1513.7719949670645
1382.3160310907235,1455.2984780121765,1498.7901945195672,1513.1024272094228
1384.9459412153994,1451.8961821350388,1502.6836557851418,1514.117482923922
1383.621025698856,1453.5853725801387,1501.5112605717602,1513.2326673546545
1381.980696445751,1450.3855918937606,1499.4102274264474,1512.062739659618
1384.1066046467274,1458.8764146662857,1502.079895625328,1514.1463479427182
1386.3982547260202,1459.4377178251925,1505.2446512885106,1515.4855587320153
1383.1750537006724,1455.9605090010925,1501.0058745402314,1513.2595019665168
1384.6389665378933,1451.7893900047113,1502.5120408460364,1513.8363416601794
1385.694420468374,1458.8733835142582,1504.3284434019931,1514.964629318151
1385.7453046575652,1459.3231565513108,1504.3621925665257,1515.0485497958005
1382.9379188065723,1453.5960839565353,1500.9107391572763,1512.7929712652194
1384.9860276099796,1451.0099991024733,1502.7824754356466,1514.1071680360922
1383.1757673593966,1450.852772808833,1500.546700565428,1512.8597784758847
1384.7616829178148,1455.7279554221018,1502.7143183876267,1514.1701377695492
1386.2510500058352,1454.2734948276714,1504.2422485391637,1515.2571447067598
1381.8868673073705,1457.0294977845826,1498.6349893932522,1513.1033343434983
1382.1062140988004,1451.0770597399173,1499.561826059267,1512.1937822617258
1385.987222006872,1455.4493855893754,1504.0465929952695,1515.0546377393239
1384.2651412419768,1458.7505519432154,1502.3102941983982,1514.1961376409704
1385.1372522807771,1458.0162099238557,1503.5906852466344,1514.536225489228
1385.4034102761686,1459.160876636718,1503.8990608624802,1514.8285332099
1384.2546274663407,1451.9825905689643,1502.3650689198773,1513.4941512231173
1384.0228871410195,1457.936592694377,1501.551126973786,1514.0698503585734
1382.5620722180704,1458.3450855273866,1499.3013425131096,1513.6264021638856
1383.5296931312937,1458.8034236449826,1501.196446030368,1513.914878963716
1384.6546172148164,1454.34381557803,1502.7011661305187,1513.9609490773948
1385.61467819999,1454.8909849493373,1503.8280944641137,1514.6948039060837
1382.666994847034,1454.739467467343,1500.281487540744,1512.8810486399368
1386.2611411237194,1456.1417960619833,1504.5610686036025,1515.2725957370294
1385.8627579735903,1458.7373519098064,1504.4340119562473,1515.0814788374057
1383.315651864507,1456.7101384253094,1501.0160475343212,1513.4732379567376
1384.945366926592,1456.6316632089347,1503.6778499027523,1514.209240902239
1384.9787317576756,1455.701620313933,1502.9313471302742,1514.3190411791488
1382.4165027849997,1456.1842169569093,1499.9573697283788,1512.9845508979654
1382.0266633288797,1454.589632246022,1498.7547881362805,1512.7892307955683
1384.9219410021149,1451.719352499978,1502.5356228953376,1514.119627196459
1384.9044962552769,1456.7938657665475,1503.244880770028,1514.2796772872086
1384.789956089236,1454.0611293658342,1502.9145112165031,1514.0225503613813
1385.0334218582602,1452.122624041365,1502.9614568577513,1514.15577860835
1383.2677048458204,1452.1189303253348,1501.1394473084272,1512.876950721525
1384.1154508186657,1453.2856663454627,1501.897926521721,1513.5643021544026
1385.9467225739438,1455.8126983675425,1504.0365121143657,1515.0325911719942
1385.229222667775,1457.9109836325763,1504.0100884724397,1514.5200686868136
1383.5052392539478,1451.2826569370452,1500.9583549348088,1513.087241392785
1385.885881676352,1456.8519687656126,1504.1978402681589,1515.001866367099
1382.9344286673215,1452.736121329533,1500.7922218927347,1512.7302673828099
1386.5758606346546,1457.9310495347352,1505.0994674340784,1515.5811297539847
1385.9752688877988,1455.6919390839716,1504.4934044977767,1514.97719245401
1384.8733684459423,1456.5616632560564,1503.68278235098,1514.1367372921088
1382.006972244228,1454.3723169578498,1498.3914425749574,1512.8523839971706
